level,question,source_url,source_type,source_title
Remember,Who?,https://blogs.jccc.edu/outcomesassessment/files/2018/02/Sample-Question-Stems-Using-Blooms.pdf,pdf,
Remember,Where?,https://blogs.jccc.edu/outcomesassessment/files/2018/02/Sample-Question-Stems-Using-Blooms.pdf,pdf,
Remember,Which one?,https://blogs.jccc.edu/outcomesassessment/files/2018/02/Sample-Question-Stems-Using-Blooms.pdf,pdf,
Remember,What?,https://blogs.jccc.edu/outcomesassessment/files/2018/02/Sample-Question-Stems-Using-Blooms.pdf,pdf,
Remember,How?,https://blogs.jccc.edu/outcomesassessment/files/2018/02/Sample-Question-Stems-Using-Blooms.pdf,pdf,
Remember,Why?,https://blogs.jccc.edu/outcomesassessment/files/2018/02/Sample-Question-Stems-Using-Blooms.pdf,pdf,
Remember,How much?,https://blogs.jccc.edu/outcomesassessment/files/2018/02/Sample-Question-Stems-Using-Blooms.pdf,pdf,
Remember,How many?,https://blogs.jccc.edu/outcomesassessment/files/2018/02/Sample-Question-Stems-Using-Blooms.pdf,pdf,
Remember,When?,https://blogs.jccc.edu/outcomesassessment/files/2018/02/Sample-Question-Stems-Using-Blooms.pdf,pdf,
Remember,What does it mean?,https://blogs.jccc.edu/outcomesassessment/files/2018/02/Sample-Question-Stems-Using-Blooms.pdf,pdf,
Remember,What happened after?,https://blogs.jccc.edu/outcomesassessment/files/2018/02/Sample-Question-Stems-Using-Blooms.pdf,pdf,
Remember,What is the best one?,https://blogs.jccc.edu/outcomesassessment/files/2018/02/Sample-Question-Stems-Using-Blooms.pdf,pdf,
Remember,…?,https://blogs.jccc.edu/outcomesassessment/files/2018/02/Sample-Question-Stems-Using-Blooms.pdf,pdf,
Remember,Who spoke to …?,https://blogs.jccc.edu/outcomesassessment/files/2018/02/Sample-Question-Stems-Using-Blooms.pdf,pdf,
Remember,Which is true or false?,https://blogs.jccc.edu/outcomesassessment/files/2018/02/Sample-Question-Stems-Using-Blooms.pdf,pdf,
Remember,What does this mean?,https://blogs.jccc.edu/outcomesassessment/files/2018/02/Sample-Question-Stems-Using-Blooms.pdf,pdf,
Remember,Which are the facts?,https://blogs.jccc.edu/outcomesassessment/files/2018/02/Sample-Question-Stems-Using-Blooms.pdf,pdf,
Remember,Is this the same as …?,https://blogs.jccc.edu/outcomesassessment/files/2018/02/Sample-Question-Stems-Using-Blooms.pdf,pdf,
Remember,What would happen if …?,https://blogs.jccc.edu/outcomesassessment/files/2018/02/Sample-Question-Stems-Using-Blooms.pdf,pdf,
Remember,What expectations are there?,https://blogs.jccc.edu/outcomesassessment/files/2018/02/Sample-Question-Stems-Using-Blooms.pdf,pdf,
Remember,What are they saying?,https://blogs.jccc.edu/outcomesassessment/files/2018/02/Sample-Question-Stems-Using-Blooms.pdf,pdf,
Remember,What seems to be …?,https://blogs.jccc.edu/outcomesassessment/files/2018/02/Sample-Question-Stems-Using-Blooms.pdf,pdf,
Remember,Is it valid that …?,https://blogs.jccc.edu/outcomesassessment/files/2018/02/Sample-Question-Stems-Using-Blooms.pdf,pdf,
Remember,What seems likely?,https://blogs.jccc.edu/outcomesassessment/files/2018/02/Sample-Question-Stems-Using-Blooms.pdf,pdf,
Remember,Which statements support …?,https://blogs.jccc.edu/outcomesassessment/files/2018/02/Sample-Question-Stems-Using-Blooms.pdf,pdf,
Remember,add?,https://blogs.jccc.edu/outcomesassessment/files/2018/02/Sample-Question-Stems-Using-Blooms.pdf,pdf,
Remember,next?,https://blogs.jccc.edu/outcomesassessment/files/2018/02/Sample-Question-Stems-Using-Blooms.pdf,pdf,
Remember,Can you clarify. . .?,https://blogs.jccc.edu/outcomesassessment/files/2018/02/Sample-Question-Stems-Using-Blooms.pdf,pdf,
Remember,Can you illustrate . . . ?,https://blogs.jccc.edu/outcomesassessment/files/2018/02/Sample-Question-Stems-Using-Blooms.pdf,pdf,
Remember,that … does?,https://blogs.jccc.edu/outcomesassessment/files/2018/02/Sample-Question-Stems-Using-Blooms.pdf,pdf,
Remember,Predict what would happen if ...,https://blogs.jccc.edu/outcomesassessment/files/2018/02/Sample-Question-Stems-Using-Blooms.pdf,pdf,
Evaluate,What would result …?,https://blogs.jccc.edu/outcomesassessment/files/2018/02/Sample-Question-Stems-Using-Blooms.pdf,pdf,
Evaluate,Tell what would happen if …,https://blogs.jccc.edu/outcomesassessment/files/2018/02/Sample-Question-Stems-Using-Blooms.pdf,pdf,
Evaluate,be if …,https://blogs.jccc.edu/outcomesassessment/files/2018/02/Sample-Question-Stems-Using-Blooms.pdf,pdf,
Evaluate,Identify the results of …,https://blogs.jccc.edu/outcomesassessment/files/2018/02/Sample-Question-Stems-Using-Blooms.pdf,pdf,
Evaluate,Write in your own words …,https://blogs.jccc.edu/outcomesassessment/files/2018/02/Sample-Question-Stems-Using-Blooms.pdf,pdf,
Evaluate,How would you explain …?,https://blogs.jccc.edu/outcomesassessment/files/2018/02/Sample-Question-Stems-Using-Blooms.pdf,pdf,
Evaluate,Write a brief outline …,https://blogs.jccc.edu/outcomesassessment/files/2018/02/Sample-Question-Stems-Using-Blooms.pdf,pdf,
Evaluate,happened next?,https://blogs.jccc.edu/outcomesassessment/files/2018/02/Sample-Question-Stems-Using-Blooms.pdf,pdf,
Evaluate,Who do you think…?,https://blogs.jccc.edu/outcomesassessment/files/2018/02/Sample-Question-Stems-Using-Blooms.pdf,pdf,
Evaluate,What was the main idea …?,https://blogs.jccc.edu/outcomesassessment/files/2018/02/Sample-Question-Stems-Using-Blooms.pdf,pdf,
Evaluate,Clarify why …,https://blogs.jccc.edu/outcomesassessment/files/2018/02/Sample-Question-Stems-Using-Blooms.pdf,pdf,
Evaluate,Illustrate the …,https://blogs.jccc.edu/outcomesassessment/files/2018/02/Sample-Question-Stems-Using-Blooms.pdf,pdf,
Evaluate,… does?,https://blogs.jccc.edu/outcomesassessment/files/2018/02/Sample-Question-Stems-Using-Blooms.pdf,pdf,
Evaluate,where …?,https://blogs.jccc.edu/outcomesassessment/files/2018/02/Sample-Question-Stems-Using-Blooms.pdf,pdf,
Evaluate,such as …?,https://blogs.jccc.edu/outcomesassessment/files/2018/02/Sample-Question-Stems-Using-Blooms.pdf,pdf,
Evaluate,…?,https://blogs.jccc.edu/outcomesassessment/files/2018/02/Sample-Question-Stems-Using-Blooms.pdf,pdf,
Evaluate,about …?,https://blogs.jccc.edu/outcomesassessment/files/2018/02/Sample-Question-Stems-Using-Blooms.pdf,pdf,
Analyze,What is the function of …?,https://blogs.jccc.edu/outcomesassessment/files/2018/02/Sample-Question-Stems-Using-Blooms.pdf,pdf,
Analyze,What’s fact? Opinion?,https://blogs.jccc.edu/outcomesassessment/files/2018/02/Sample-Question-Stems-Using-Blooms.pdf,pdf,
Analyze,What assumptions …?,https://blogs.jccc.edu/outcomesassessment/files/2018/02/Sample-Question-Stems-Using-Blooms.pdf,pdf,
Analyze,What statement is relevant?,https://blogs.jccc.edu/outcomesassessment/files/2018/02/Sample-Question-Stems-Using-Blooms.pdf,pdf,
Analyze,What motive is there?,https://blogs.jccc.edu/outcomesassessment/files/2018/02/Sample-Question-Stems-Using-Blooms.pdf,pdf,
Analyze,What conclusions?,https://blogs.jccc.edu/outcomesassessment/files/2018/02/Sample-Question-Stems-Using-Blooms.pdf,pdf,
Analyze,What does the author believe?,https://blogs.jccc.edu/outcomesassessment/files/2018/02/Sample-Question-Stems-Using-Blooms.pdf,pdf,
Analyze,What does the author assume?,https://blogs.jccc.edu/outcomesassessment/files/2018/02/Sample-Question-Stems-Using-Blooms.pdf,pdf,
Analyze,State the point of view of …,https://blogs.jccc.edu/outcomesassessment/files/2018/02/Sample-Question-Stems-Using-Blooms.pdf,pdf,
Apply,What ideas justify the conclusion?,https://blogs.jccc.edu/outcomesassessment/files/2018/02/Sample-Question-Stems-Using-Blooms.pdf,pdf,
Apply,What’s the relationship between?,https://blogs.jccc.edu/outcomesassessment/files/2018/02/Sample-Question-Stems-Using-Blooms.pdf,pdf,
Apply,…,https://blogs.jccc.edu/outcomesassessment/files/2018/02/Sample-Question-Stems-Using-Blooms.pdf,pdf,
Apply,What’s the main idea? Theme?,https://blogs.jccc.edu/outcomesassessment/files/2018/02/Sample-Question-Stems-Using-Blooms.pdf,pdf,
Apply,What literary form is used?,https://blogs.jccc.edu/outcomesassessment/files/2018/02/Sample-Question-Stems-Using-Blooms.pdf,pdf,
Apply,What persuasive technique is used?,https://blogs.jccc.edu/outcomesassessment/files/2018/02/Sample-Question-Stems-Using-Blooms.pdf,pdf,
Apply,happened?,https://blogs.jccc.edu/outcomesassessment/files/2018/02/Sample-Question-Stems-Using-Blooms.pdf,pdf,
Apply,"If … happened, what might the",https://blogs.jccc.edu/outcomesassessment/files/2018/02/Sample-Question-Stems-Using-Blooms.pdf,pdf,
Apply,ending have been?,https://blogs.jccc.edu/outcomesassessment/files/2018/02/Sample-Question-Stems-Using-Blooms.pdf,pdf,
Apply,How is … similar to …?,https://blogs.jccc.edu/outcomesassessment/files/2018/02/Sample-Question-Stems-Using-Blooms.pdf,pdf,
Apply,outcomes?,https://blogs.jccc.edu/outcomesassessment/files/2018/02/Sample-Question-Stems-Using-Blooms.pdf,pdf,
Apply,Why did … changes occur?,https://blogs.jccc.edu/outcomesassessment/files/2018/02/Sample-Question-Stems-Using-Blooms.pdf,pdf,
Apply,happened when …?,https://blogs.jccc.edu/outcomesassessment/files/2018/02/Sample-Question-Stems-Using-Blooms.pdf,pdf,
Apply,behind …?,https://blogs.jccc.edu/outcomesassessment/files/2018/02/Sample-Question-Stems-Using-Blooms.pdf,pdf,
Apply,What was the turning point?,https://blogs.jccc.edu/outcomesassessment/files/2018/02/Sample-Question-Stems-Using-Blooms.pdf,pdf,
Apply,…?,https://blogs.jccc.edu/outcomesassessment/files/2018/02/Sample-Question-Stems-Using-Blooms.pdf,pdf,
Apply,Can you distinguish between …?,https://blogs.jccc.edu/outcomesassessment/files/2018/02/Sample-Question-Stems-Using-Blooms.pdf,pdf,
Apply,inconsistencies appear?,https://blogs.jccc.edu/outcomesassessment/files/2018/02/Sample-Question-Stems-Using-Blooms.pdf,pdf,
Apply,appropriate?,https://blogs.jccc.edu/outcomesassessment/files/2018/02/Sample-Question-Stems-Using-Blooms.pdf,pdf,
Evaluate,What do you think about …?,https://blogs.jccc.edu/outcomesassessment/files/2018/02/Sample-Question-Stems-Using-Blooms.pdf,pdf,
Evaluate,Do you think … is a good or,https://blogs.jccc.edu/outcomesassessment/files/2018/02/Sample-Question-Stems-Using-Blooms.pdf,pdf,
Evaluate,bad thing?,https://blogs.jccc.edu/outcomesassessment/files/2018/02/Sample-Question-Stems-Using-Blooms.pdf,pdf,
Evaluate,What changes to … would,https://blogs.jccc.edu/outcomesassessment/files/2018/02/Sample-Question-Stems-Using-Blooms.pdf,pdf,
Evaluate,you recommend?,https://blogs.jccc.edu/outcomesassessment/files/2018/02/Sample-Question-Stems-Using-Blooms.pdf,pdf,
Evaluate,Do you believe …?,https://blogs.jccc.edu/outcomesassessment/files/2018/02/Sample-Question-Stems-Using-Blooms.pdf,pdf,
Evaluate,How would you feel if …?,https://blogs.jccc.edu/outcomesassessment/files/2018/02/Sample-Question-Stems-Using-Blooms.pdf,pdf,
Evaluate,How effective are …?,https://blogs.jccc.edu/outcomesassessment/files/2018/02/Sample-Question-Stems-Using-Blooms.pdf,pdf,
Evaluate,What influence will … have,https://blogs.jccc.edu/outcomesassessment/files/2018/02/Sample-Question-Stems-Using-Blooms.pdf,pdf,
Evaluate,on our lives?,https://blogs.jccc.edu/outcomesassessment/files/2018/02/Sample-Question-Stems-Using-Blooms.pdf,pdf,
Evaluate,Why is … of value?,https://blogs.jccc.edu/outcomesassessment/files/2018/02/Sample-Question-Stems-Using-Blooms.pdf,pdf,
Evaluate,What are the alternatives?,https://blogs.jccc.edu/outcomesassessment/files/2018/02/Sample-Question-Stems-Using-Blooms.pdf,pdf,
Evaluate,lose?,https://blogs.jccc.edu/outcomesassessment/files/2018/02/Sample-Question-Stems-Using-Blooms.pdf,pdf,
Evaluate,Can you design a … to,https://blogs.jccc.edu/outcomesassessment/files/2018/02/Sample-Question-Stems-Using-Blooms.pdf,pdf,
Evaluate,solution to …?,https://blogs.jccc.edu/outcomesassessment/files/2018/02/Sample-Question-Stems-Using-Blooms.pdf,pdf,
Evaluate,you deal with …?,https://blogs.jccc.edu/outcomesassessment/files/2018/02/Sample-Question-Stems-Using-Blooms.pdf,pdf,
Evaluate,your own way to …?,https://blogs.jccc.edu/outcomesassessment/files/2018/02/Sample-Question-Stems-Using-Blooms.pdf,pdf,
Evaluate,What would happen if?,https://blogs.jccc.edu/outcomesassessment/files/2018/02/Sample-Question-Stems-Using-Blooms.pdf,pdf,
Create,unusual uses for …?,https://blogs.jccc.edu/outcomesassessment/files/2018/02/Sample-Question-Stems-Using-Blooms.pdf,pdf,
Create,…?,https://blogs.jccc.edu/outcomesassessment/files/2018/02/Sample-Question-Stems-Using-Blooms.pdf,pdf,
Create,How would you test …?,https://blogs.jccc.edu/outcomesassessment/files/2018/02/Sample-Question-Stems-Using-Blooms.pdf,pdf,
Create,How else would you …?,https://blogs.jccc.edu/outcomesassessment/files/2018/02/Sample-Question-Stems-Using-Blooms.pdf,pdf,
Remember,What is…? • Can you select? • Where is…? • When did ____ happen?,https://www.readingrockets.org/sites/default/files/2023-09/Blooms%20Taxonomy%20questions.pdf,pdf,
Remember,Who were the main…? • Which one…? • Why did…? • How would you describe…?,https://www.readingrockets.org/sites/default/files/2023-09/Blooms%20Taxonomy%20questions.pdf,pdf,
Remember,When did…? • Can you recall…? • Who was… ? • How would you explain…?,https://www.readingrockets.org/sites/default/files/2023-09/Blooms%20Taxonomy%20questions.pdf,pdf,
Remember,How did ___happen…? • Can you list the three..? • How is…?,https://www.readingrockets.org/sites/default/files/2023-09/Blooms%20Taxonomy%20questions.pdf,pdf,
Remember,How would you show…?,https://www.readingrockets.org/sites/default/files/2023-09/Blooms%20Taxonomy%20questions.pdf,pdf,
Understand,How would you classify the type of…? • How would you compare…? contrast…?,https://www.readingrockets.org/sites/default/files/2023-09/Blooms%20Taxonomy%20questions.pdf,pdf,
Understand,Will you state or interpret in your own words…?,https://www.readingrockets.org/sites/default/files/2023-09/Blooms%20Taxonomy%20questions.pdf,pdf,
Understand,How would you rephrase the meaning?,https://www.readingrockets.org/sites/default/files/2023-09/Blooms%20Taxonomy%20questions.pdf,pdf,
Understand,What facts or ideas show…? • What is the main idea of ……?,https://www.readingrockets.org/sites/default/files/2023-09/Blooms%20Taxonomy%20questions.pdf,pdf,
Understand,Which statements support…? • Which is the best answer…?,https://www.readingrockets.org/sites/default/files/2023-09/Blooms%20Taxonomy%20questions.pdf,pdf,
Understand,What can you say about …? • How would you summarize… ?,https://www.readingrockets.org/sites/default/files/2023-09/Blooms%20Taxonomy%20questions.pdf,pdf,
Understand,Can you explain what is happening…? • What is meant by…?,https://www.readingrockets.org/sites/default/files/2023-09/Blooms%20Taxonomy%20questions.pdf,pdf,
Apply,How would you use…? • How would you solve ___ using what you’ve learned…?,https://www.readingrockets.org/sites/default/files/2023-09/Blooms%20Taxonomy%20questions.pdf,pdf,
Understand,How would you organize _______ to show…?,https://www.readingrockets.org/sites/default/files/2023-09/Blooms%20Taxonomy%20questions.pdf,pdf,
Apply,What approach would you use to…? • What other way would you plan to…?,https://www.readingrockets.org/sites/default/files/2023-09/Blooms%20Taxonomy%20questions.pdf,pdf,
Apply,What would result if…? • Can you make use of the facts to…?,https://www.readingrockets.org/sites/default/files/2023-09/Blooms%20Taxonomy%20questions.pdf,pdf,
Apply,What elements would you use to change…? • What facts would you select to show…?,https://www.readingrockets.org/sites/default/files/2023-09/Blooms%20Taxonomy%20questions.pdf,pdf,
Apply,What questions would you ask during an interview?,https://www.readingrockets.org/sites/default/files/2023-09/Blooms%20Taxonomy%20questions.pdf,pdf,
Analyze,What are the parts or features of . . . ? • How is _______ related to . . . ?,https://www.readingrockets.org/sites/default/files/2023-09/Blooms%20Taxonomy%20questions.pdf,pdf,
Analyze,Why do you think . . . ? • What is the theme . . . ? • What motive is there . . . ?,https://www.readingrockets.org/sites/default/files/2023-09/Blooms%20Taxonomy%20questions.pdf,pdf,
Analyze,Can you list the parts . . . ? • What inference can you make . . . ?,https://www.readingrockets.org/sites/default/files/2023-09/Blooms%20Taxonomy%20questions.pdf,pdf,
Analyze,What conclusions can you draw . . . ? • How would you classify . . . ?,https://www.readingrockets.org/sites/default/files/2023-09/Blooms%20Taxonomy%20questions.pdf,pdf,
Analyze,How would you categorize . . . ? • Can you identify the different parts . . . ?,https://www.readingrockets.org/sites/default/files/2023-09/Blooms%20Taxonomy%20questions.pdf,pdf,
Analyze,What evidence can you find . . . ? • What is the relationship between . . . ?,https://www.readingrockets.org/sites/default/files/2023-09/Blooms%20Taxonomy%20questions.pdf,pdf,
Analyze,Can you make a distinction between . . . ? • What is the function of . . . ?,https://www.readingrockets.org/sites/default/files/2023-09/Blooms%20Taxonomy%20questions.pdf,pdf,
Analyze,What ideas justify . . . ?,https://www.readingrockets.org/sites/default/files/2023-09/Blooms%20Taxonomy%20questions.pdf,pdf,
Create,What changes would you make to solve…? • How would you improve…?,https://www.readingrockets.org/sites/default/files/2023-09/Blooms%20Taxonomy%20questions.pdf,pdf,
Create,What would happen if…? • Can you elaborate on the reason…?,https://www.readingrockets.org/sites/default/files/2023-09/Blooms%20Taxonomy%20questions.pdf,pdf,
Create,Can you propose an alternative…? • Can you invent…?,https://www.readingrockets.org/sites/default/files/2023-09/Blooms%20Taxonomy%20questions.pdf,pdf,
Create,How could you change (modify) the plot (plan)…? • What facts can you compile…?,https://www.readingrockets.org/sites/default/files/2023-09/Blooms%20Taxonomy%20questions.pdf,pdf,
Create,What way would you design…? • What could be combined to improve (change)…?,https://www.readingrockets.org/sites/default/files/2023-09/Blooms%20Taxonomy%20questions.pdf,pdf,
Create,Suppose you could _____what would you do…? • How would you test…?,https://www.readingrockets.org/sites/default/files/2023-09/Blooms%20Taxonomy%20questions.pdf,pdf,
Create,Can you formulate a theory for…? • Can you predict the outcome if… ?,https://www.readingrockets.org/sites/default/files/2023-09/Blooms%20Taxonomy%20questions.pdf,pdf,
Create,How would you estimate the results for…? • What could be done to minimize,https://www.readingrockets.org/sites/default/files/2023-09/Blooms%20Taxonomy%20questions.pdf,pdf,
Create,(maximize)…?,https://www.readingrockets.org/sites/default/files/2023-09/Blooms%20Taxonomy%20questions.pdf,pdf,
Create,Can you construct a model that would change…? • How is _____ related to…?,https://www.readingrockets.org/sites/default/files/2023-09/Blooms%20Taxonomy%20questions.pdf,pdf,
Create,Can you think for an original way for the…? • What are the parts or features of…?,https://www.readingrockets.org/sites/default/files/2023-09/Blooms%20Taxonomy%20questions.pdf,pdf,
Create,Why do you think…? • What is the theme…? • What motive is there…?,https://www.readingrockets.org/sites/default/files/2023-09/Blooms%20Taxonomy%20questions.pdf,pdf,
Create,Can you list the parts…? • What inference can you make…? …? • What ideas justify…?,https://www.readingrockets.org/sites/default/files/2023-09/Blooms%20Taxonomy%20questions.pdf,pdf,
Create,What conclusions can you draw… ? • How would you classify…?,https://www.readingrockets.org/sites/default/files/2023-09/Blooms%20Taxonomy%20questions.pdf,pdf,
Create,How would you categorize…? • Can you identify the different parts… ?,https://www.readingrockets.org/sites/default/files/2023-09/Blooms%20Taxonomy%20questions.pdf,pdf,
Create,What evidence can you find…? • What is the relationship between…?,https://www.readingrockets.org/sites/default/files/2023-09/Blooms%20Taxonomy%20questions.pdf,pdf,
Create,Can you make the distinction between…? • What is the function of,https://www.readingrockets.org/sites/default/files/2023-09/Blooms%20Taxonomy%20questions.pdf,pdf,
Evaluate,Do you agree with the actions/outcome…? • What is your opinion of…?,https://www.readingrockets.org/sites/default/files/2023-09/Blooms%20Taxonomy%20questions.pdf,pdf,
Evaluate,How would you prove/ disprove…? • Can you assess the value or importance of…?,https://www.readingrockets.org/sites/default/files/2023-09/Blooms%20Taxonomy%20questions.pdf,pdf,
Evaluate,Would it be better if…? • Why did they (the character) choose…?,https://www.readingrockets.org/sites/default/files/2023-09/Blooms%20Taxonomy%20questions.pdf,pdf,
Evaluate,What would you recommend…? • How would you rate the…?,https://www.readingrockets.org/sites/default/files/2023-09/Blooms%20Taxonomy%20questions.pdf,pdf,
Evaluate,How could you determine…? • What choice would you have made…?,https://www.readingrockets.org/sites/default/files/2023-09/Blooms%20Taxonomy%20questions.pdf,pdf,
Evaluate,What would you select…? • How would you prioritize…? • How would you justify…?,https://www.readingrockets.org/sites/default/files/2023-09/Blooms%20Taxonomy%20questions.pdf,pdf,
Evaluate,What judgment would you make about…? • Why was it better that…?,https://www.readingrockets.org/sites/default/files/2023-09/Blooms%20Taxonomy%20questions.pdf,pdf,
Evaluate,How would you prioritize the facts…? • What would you cite to defend the actions…?,https://www.readingrockets.org/sites/default/files/2023-09/Blooms%20Taxonomy%20questions.pdf,pdf,
Evaluate,What data was used to make the conclusion…?,https://www.readingrockets.org/sites/default/files/2023-09/Blooms%20Taxonomy%20questions.pdf,pdf,
Evaluate,What information would you use to support the view…?,https://www.readingrockets.org/sites/default/files/2023-09/Blooms%20Taxonomy%20questions.pdf,pdf,
Evaluate,"Based on what you know, how would you explain…?",https://www.readingrockets.org/sites/default/files/2023-09/Blooms%20Taxonomy%20questions.pdf,pdf,
Remember,Make a story map showing the main events of the story.,https://higherelearning.com/wp-content/uploads/2016/09/Blooms-Taxonomy-Question-Stems-Jason-Johnston.pdf,pdf,
Remember,Make a time line of your typical day.,https://higherelearning.com/wp-content/uploads/2016/09/Blooms-Taxonomy-Question-Stems-Jason-Johnston.pdf,pdf,
Remember,Make a concept map of the topic.,https://higherelearning.com/wp-content/uploads/2016/09/Blooms-Taxonomy-Question-Stems-Jason-Johnston.pdf,pdf,
Remember,Write a list of keywords you know about….,https://higherelearning.com/wp-content/uploads/2016/09/Blooms-Taxonomy-Question-Stems-Jason-Johnston.pdf,pdf,
Remember,What characters were in the story?,https://higherelearning.com/wp-content/uploads/2016/09/Blooms-Taxonomy-Question-Stems-Jason-Johnston.pdf,pdf,
Remember,Make a chart showing…,https://higherelearning.com/wp-content/uploads/2016/09/Blooms-Taxonomy-Question-Stems-Jason-Johnston.pdf,pdf,
Remember,Make an acrostic poem about…,https://higherelearning.com/wp-content/uploads/2016/09/Blooms-Taxonomy-Question-Stems-Jason-Johnston.pdf,pdf,
Remember,Recite a poem you have learned.,https://higherelearning.com/wp-content/uploads/2016/09/Blooms-Taxonomy-Question-Stems-Jason-Johnston.pdf,pdf,
Remember,What happened after...?,https://higherelearning.com/wp-content/uploads/2016/09/Blooms-Taxonomy-Question-Stems-Jason-Johnston.pdf,pdf,
Remember,How many...?,https://higherelearning.com/wp-content/uploads/2016/09/Blooms-Taxonomy-Question-Stems-Jason-Johnston.pdf,pdf,
Remember,What is...?,https://higherelearning.com/wp-content/uploads/2016/09/Blooms-Taxonomy-Question-Stems-Jason-Johnston.pdf,pdf,
Remember,Who was it that...?,https://higherelearning.com/wp-content/uploads/2016/09/Blooms-Taxonomy-Question-Stems-Jason-Johnston.pdf,pdf,
Remember,Name the ...?,https://higherelearning.com/wp-content/uploads/2016/09/Blooms-Taxonomy-Question-Stems-Jason-Johnston.pdf,pdf,
Remember,Find the definition of…,https://higherelearning.com/wp-content/uploads/2016/09/Blooms-Taxonomy-Question-Stems-Jason-Johnston.pdf,pdf,
Remember,Describe what happened after…,https://higherelearning.com/wp-content/uploads/2016/09/Blooms-Taxonomy-Question-Stems-Jason-Johnston.pdf,pdf,
Remember,Who spoke to...?,https://higherelearning.com/wp-content/uploads/2016/09/Blooms-Taxonomy-Question-Stems-Jason-Johnston.pdf,pdf,
Remember,Which is true or false...?,https://higherelearning.com/wp-content/uploads/2016/09/Blooms-Taxonomy-Question-Stems-Jason-Johnston.pdf,pdf,
Understand, Write in your own words…,https://higherelearning.com/wp-content/uploads/2016/09/Blooms-Taxonomy-Question-Stems-Jason-Johnston.pdf,pdf,
Understand,"Cut out, or draw pictures to illustrate a particular event in the story.",https://higherelearning.com/wp-content/uploads/2016/09/Blooms-Taxonomy-Question-Stems-Jason-Johnston.pdf,pdf,
Understand,Report to the class…,https://higherelearning.com/wp-content/uploads/2016/09/Blooms-Taxonomy-Question-Stems-Jason-Johnston.pdf,pdf,
Understand,Illustrate what you think the main idea may have been.,https://higherelearning.com/wp-content/uploads/2016/09/Blooms-Taxonomy-Question-Stems-Jason-Johnston.pdf,pdf,
Understand,Make a cartoon strip showing the sequence of events in the story.,https://higherelearning.com/wp-content/uploads/2016/09/Blooms-Taxonomy-Question-Stems-Jason-Johnston.pdf,pdf,
Understand,Write and perform a play based on the story.,https://higherelearning.com/wp-content/uploads/2016/09/Blooms-Taxonomy-Question-Stems-Jason-Johnston.pdf,pdf,
Understand,Write a brief outline to explain this story to someone else,https://higherelearning.com/wp-content/uploads/2016/09/Blooms-Taxonomy-Question-Stems-Jason-Johnston.pdf,pdf,
Understand,Explain why the character solved the problem in this particular way,https://higherelearning.com/wp-content/uploads/2016/09/Blooms-Taxonomy-Question-Stems-Jason-Johnston.pdf,pdf,
Understand,Write a summary report of the event.,https://higherelearning.com/wp-content/uploads/2016/09/Blooms-Taxonomy-Question-Stems-Jason-Johnston.pdf,pdf,
Understand,Prepare a flow chart to illustrate the sequence of events.,https://higherelearning.com/wp-content/uploads/2016/09/Blooms-Taxonomy-Question-Stems-Jason-Johnston.pdf,pdf,
Understand,Paraphrase this chapter in the book.,https://higherelearning.com/wp-content/uploads/2016/09/Blooms-Taxonomy-Question-Stems-Jason-Johnston.pdf,pdf,
Understand,Retell in your own words.,https://higherelearning.com/wp-content/uploads/2016/09/Blooms-Taxonomy-Question-Stems-Jason-Johnston.pdf,pdf,
Understand,Outline the main points.,https://higherelearning.com/wp-content/uploads/2016/09/Blooms-Taxonomy-Question-Stems-Jason-Johnston.pdf,pdf,
Understand,Can you explain why…?,https://higherelearning.com/wp-content/uploads/2016/09/Blooms-Taxonomy-Question-Stems-Jason-Johnston.pdf,pdf,
Understand,Can you write in your own words?,https://higherelearning.com/wp-content/uploads/2016/09/Blooms-Taxonomy-Question-Stems-Jason-Johnston.pdf,pdf,
Understand,How would you explain…?,https://higherelearning.com/wp-content/uploads/2016/09/Blooms-Taxonomy-Question-Stems-Jason-Johnston.pdf,pdf,
Understand,Can you write a brief outline...?,https://higherelearning.com/wp-content/uploads/2016/09/Blooms-Taxonomy-Question-Stems-Jason-Johnston.pdf,pdf,
